area,bedrooms,bathrooms,age,location,property_type,floor,facing,amenities_score,price
538.6,4,3,19,Banjara Hills,Villa,17,North,1.58,10664534.5
2235.9,2,2,4,Uppal,Independent House,21,South,3.26,9406046.4
1957.1,2,2,11,Miyapur,Apartment,20,West,4.7,10004841.98
1592.8,3,3,25,Kondapur,Independent House,18,East,1.81,11476719.16
1491.4,2,2,29,Kondapur,Apartment,19,West,1.12,8783289.8
2159.3,1,1,7,Uppal,Villa,4,East,5.66,9932661.25
2066.2,2,2,31,Banjara Hills,Independent House,4,West,4.12,24420225.9
2036.9,3,2,21,Miyapur,Apartment,20,South,4.16,9826856.59
1651.2,2,2,8,Gachibowli,Apartment,13,North-East,3.08,16972312.93
1207.9,3,3,27,Banjara Hills,Villa,10,South-West,3.71,20626782.61
1821.9,2,2,30,Kukatpally,Apartment,16,North-East,1.84,7900192.12
1848.8,2,2,9,LB Nagar,Studio,2,North,2.71,4480289.83
1295.1,3,3,3,Miyapur,Villa,4,South-West,5.42,7779566.76
1206.8,1,1,9,Uppal,Independent House,3,South-West,5.22,4112782.27
2023.3,3,2,26,Miyapur,Apartment,14,North,9.06,8024670.43
2315.3,2,2,2,Uppal,Independent House,1,East,8.33,8481638.66
987.8,3,2,10,Kukatpally,Studio,1,North,0.07,3788403.84
1255.1,2,2,11,Gachibowli,Apartment,16,North,2.3,12919262.46
1593.0,4,3,0,Uppal,Apartment,18,North-East,8.88,6607234.91
1667.6,1,1,20,Kondapur,Apartment,6,East,3.15,7928822.76
1112.7,4,4,28,Kukatpally,Apartment,17,South,4.78,5636345.4
2435.9,2,2,5,Madhapur,Independent House,2,West,6.75,21397945.34
1632.2,1,1,31,Gachibowli,Apartment,10,North,5.43,12790871.44
1692.3,3,3,33,LB Nagar,Independent House,9,East,0.05,4882903.36
2367.4,2,2,30,Uppal,Apartment,8,South,2.07,5832250.63
1153.0,2,1,25,Miyapur,Apartment,21,East,1.0,4658986.78
1351.4,4,3,15,Kondapur,Apartment,1,South-West,1.68,8018756.84
710.7,4,3,7,Uppal,Studio,15,North-East,1.47,2098235.72
1305.2,3,3,31,Kukatpally,Independent House,6,South-West,6.23,6237706.64
581.1,5,4,18,Kondapur,Apartment,12,South,4.07,4228138.17
1811.3,2,1,15,Kondapur,Villa,5,South-West,0.67,14975669.75
1631.0,1,1,13,Gachibowli,Apartment,18,West,0.82,13437906.45
1247.6,4,4,7,Banjara Hills,Apartment,1,East,9.5,20260290.66
1344.8,2,1,13,Kukatpally,Apartment,1,South-West,1.55,5639729.42
1818.8,2,1,27,LB Nagar,Studio,8,South,2.54,4058143.41
775.3,1,1,19,Banjara Hills,Independent House,22,North-East,5.74,10770705.06
1512.3,2,1,13,Uppal,Independent House,0,West,1.87,4669999.15
1784.7,2,1,3,Uppal,Apartment,4,North,1.98,5228680.11
419.7,2,1,14,Madhapur,Apartment,12,North-East,0.73,3420720.91
1776.7,3,3,7,Miyapur,Independent House,0,North,9.81,8702483.71
479.3,3,2,13,Gachibowli,Apartment,13,East,6.06,4643309.34
1335.3,4,3,5,Uppal,Studio,9,West,5.3,4294311.17
760.1,1,1,33,Miyapur,Villa,16,North,8.89,4280760.93
2187.2,2,2,6,Madhapur,Apartment,1,North-East,5.94,22511445.78
763.6,3,3,4,Banjara Hills,Independent House,4,North,2.63,12467773.7
492.4,1,1,22,LB Nagar,Studio,4,North,4.72,1155362.65
1473.3,2,1,12,Kondapur,Apartment,18,South,4.78,9094232.56
1172.5,3,3,34,LB Nagar,Independent House,18,East,3.98,3024551.81
572.5,3,2,14,Miyapur,Studio,2,South,7.54,2036403.96
1689.2,2,1,22,Uppal,Apartment,10,West,1.1,5643958.9
304.7,3,3,29,Uppal,Studio,17,South-West,1.59,931358.91
830.1,3,2,34,Gachibowli,Apartment,0,West,3.72,6155718.34
1083.6,4,4,28,Madhapur,Independent House,2,West,0.71,8480229.9
1841.2,2,2,20,Kondapur,Villa,16,North,9.87,18467673.44
2112.5,3,3,28,Kondapur,Independent House,14,North,4.96,14816823.77
2006.5,3,2,9,Banjara Hills,Apartment,17,South,0.5,28702688.87
1315.7,2,1,30,Kukatpally,Independent House,11,North-East,6.08,7206266.41
300.0,3,3,30,Gachibowli,Apartment,22,South-West,7.81,3486652.86
1615.0,3,3,13,Miyapur,Apartment,3,South-West,4.08,7299187.0
2208.8,2,1,2,Miyapur,Apartment,3,West,4.81,10873124.65
2078.6,2,2,23,LB Nagar,Independent House,15,South,7.01,5933427.36
1654.6,2,2,3,Miyapur,Apartment,21,West,2.34,8297650.16
745.8,3,3,0,Madhapur,Apartment,0,North-East,5.98,6375874.75
1111.1,1,1,33,LB Nagar,Studio,17,East,6.31,2810860.9
2463.6,3,2,19,Kondapur,Apartment,24,South-West,8.05,19544590.75
620.8,2,1,22,Madhapur,Apartment,14,North,8.91,5922808.43
768.7,3,3,30,LB Nagar,Apartment,20,North-East,9.41,2196903.94
1918.4,3,3,32,Madhapur,Apartment,6,North-East,1.26,13594829.24
1162.9,3,2,33,Banjara Hills,Independent House,20,North,8.16,16999116.38
750.0,3,2,4,Kondapur,Apartment,11,South-West,6.75,5980833.14
2240.4,2,1,11,Uppal,Apartment,7,West,3.71,7436795.12
1653.6,2,1,26,Gachibowli,Studio,4,North-East,9.23,13897043.66
1190.0,3,2,1,Kondapur,Villa,21,South-West,8.6,14638193.69
769.8,2,1,8,Gachibowli,Independent House,17,East,7.74,8761817.96
2526.1,3,3,18,Miyapur,Studio,19,South-West,0.57,9433604.28
1386.6,3,3,12,Kondapur,Studio,17,South-West,1.77,8457704.21
2168.5,4,3,6,Madhapur,Apartment,6,North,9.18,21661704.36
1891.5,2,2,31,Gachibowli,Independent House,4,South-West,9.82,19387213.5
1113.5,3,3,15,Kukatpally,Independent House,16,East,2.77,6827732.33
1117.9,1,1,14,Miyapur,Apartment,6,West,2.77,4199702.6
2195.5,4,3,23,LB Nagar,Apartment,16,North-East,6.1,6781220.54
2204.4,3,3,23,Kondapur,Apartment,22,South-West,0.76,13680330.74
367.7,3,2,17,Gachibowli,Independent House,18,East,5.95,4002968.5
1702.4,3,3,31,Uppal,Villa,11,North-East,9.69,7451007.75
1333.3,2,1,10,Miyapur,Villa,22,East,2.97,7373329.39
831.7,3,2,30,Miyapur,Apartment,13,North-East,7.43,3636655.45
1544.0,4,4,30,Banjara Hills,Apartment,11,South-West,5.25,22634316.29
657.7,1,1,0,Madhapur,Apartment,23,North,2.87,6266978.0
1143.4,5,4,26,Uppal,Apartment,8,East,4.12,3936064.9
960.8,4,3,5,Uppal,Studio,5,West,5.51,2952893.01
1125.1,5,4,16,Kondapur,Studio,3,South,7.62,6185383.12
1360.7,4,4,32,Uppal,Studio,15,North-East,5.41,4298138.62
841.4,2,2,6,Uppal,Studio,12,South,9.25,2234586.25
2265.2,3,3,19,Kondapur,Studio,19,North,1.17,12675058.81
1671.3,2,2,27,LB Nagar,Apartment,3,South,9.58,4246044.1
2387.0,3,2,16,Madhapur,Apartment,7,South-West,5.51,23334843.11
1312.0,2,1,2,Gachibowli,Apartment,3,North-East,3.92,12914421.49
1098.2,4,3,2,Miyapur,Apartment,7,East,0.76,5854426.64
2367.1,2,2,18,Miyapur,Apartment,24,West,2.96,10144555.8
1082.1,2,1,0,Gachibowli,Apartment,22,North,4.38,11299435.55
1301.9,1,1,0,Uppal,Studio,12,West,9.37,3693689.86
1796.0,3,2,33,Gachibowli,Apartment,2,North-East,7.56,16339781.98
